G,PTS,TRB,AST,PER,WS,Name,AS,AllDefensive,AllNBA,AllRookie,FG,FG3,FT,NBAChamp,eFG,MVP,ROY,ASMVP,FinalsMVP,ScoringChamp,DefPOY,STLChamp,MostImproved,ASTChamp,BLKChamp,TRBChamp,SixthMan,Target
1122.0,12.0,5.1,4.3,15.7,96.8,Andre Iguodala,1.0,2.0,0.0,1.0,46.6,33.4,70.9,3.0,51.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Once in a Generation
655.0,20.0,3.8,5.4,19.4,54.0,Kemba Walker,4.0,0.0,1.0,0.0,41.8,36.0,83.8,0.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
202.0,24.1,11.5,3.1,24.8,22.4,Joel Embiid,3.0,2.0,2.0,1.0,47.9,32.2,79.4,0.0,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Time Great
1160.0,8.2,9.0,0.8,16.1,102.1,Tyson Chandler,1.0,3.0,1.0,0.0,59.7,0.0,64.4,1.0,59.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Once in a Generation
334.0,22.3,3.6,4.7,16.8,15.9,Devin Booker,1.0,0.0,0.0,1.0,44.7,35.5,86.8,0.0,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
596.0,18.8,3.4,5.6,18.3,39.7,Derrick Rose,3.0,0.0,1.0,1.0,45.6,30.4,82.7,0.0,48.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
622.0,21.7,8.8,4.4,22.0,75.2,Blake Griffin,6.0,0.0,5.0,1.0,49.8,33.3,69.4,0.0,51.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Time Great
525.0,18.1,2.5,5.0,19.8,45.3,Isaiah Thomas,2.0,0.0,1.0,1.0,43.6,36.4,87.2,0.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
1003.0,19.5,8.3,2.0,20.8,111.4,LaMarcus Aldridge,7.0,0.0,5.0,1.0,49.1,31.2,81.1,0.0,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Once in a Generation
874.0,23.2,7.1,8.3,23.5,101.3,Russell Westbrook,9.0,0.0,8.0,1.0,43.7,30.4,80.0,0.0,46.7,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Once in a Generation
246.0,16.2,5.1,3.2,13.5,9.4,Brandon Ingram,1.0,0.0,0.0,1.0,46.0,35.7,72.0,0.0,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
989.0,14.0,7.3,2.3,19.0,91.6,Paul Millsap,4.0,1.0,0.0,1.0,49.1,34.3,73.7,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Once in a Generation
545.0,21.0,4.0,4.0,17.8,41.5,Bradley Beal,2.0,0.0,0.0,1.0,45.2,38.0,80.7,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
269.0,12.7,5.6,2.3,16.8,20.7,Pascal Siakam,1.0,0.0,0.0,0.0,50.4,33.3,76.6,1.0,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,All Star
607.0,24.0,4.2,6.5,21.9,79.9,Damian Lillard,5.0,0.0,4.0,1.0,43.6,37.1,88.9,0.0,51.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
831.0,14.7,7.6,3.4,18.2,82.2,Marc Gasol,3.0,1.0,2.0,1.0,48.2,35.6,77.7,1.0,50.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Once in a Generation
237.0,18.1,7.6,1.4,18.5,16.4,Kristaps Porziņģis,1.0,0.0,0.0,1.0,43.3,35.7,79.8,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
812.0,13.9,3.1,4.8,17.0,54.1,Goran Dragić,1.0,0.0,1.0,0.0,46.4,36.4,76.3,0.0,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,All Star
216.0,10.5,7.7,2.9,18.4,19.2,Bam Adebayo,1.0,0.0,0.0,0.0,55.8,11.4,71.1,0.0,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
522.0,20.0,8.9,4.3,22.9,63.6,Giannis Antetokounmpo,4.0,2.0,3.0,1.0,52.5,28.5,72.4,0.0,54.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,All Time Great
699.0,23.5,4.5,6.6,23.8,103.2,Stephen Curry,6.0,0.0,6.0,1.0,47.6,43.5,90.6,3.0,58.1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,All Star
1013.0,18.5,4.5,9.5,25.1,179.5,Chris Paul,10.0,9.0,8.0,1.0,47.0,37.0,87.0,0.0,52.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,Once in a Generation
521.0,24.0,10.4,2.2,27.5,82.3,Anthony Davis,7.0,3.0,3.0,1.0,51.7,31.9,80.1,0.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,All Time Great
415.0,17.4,4.6,3.9,16.6,24.3,Victor Oladipo,2.0,1.0,1.0,1.0,44.1,35.0,79.3,0.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,All Star
248.0,4.7,1.3,1.8,11.2,5.4,Raul Neto,0.0,0.0,0.0,0.0,44.5,38.0,78.7,0.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
525.0,9.8,7.6,1.2,17.2,44.9,Steven Adams,0.0,0.0,0.0,1.0,58.9,10.0,55.8,0.0,58.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Time Great
394.0,9.9,3.6,4.0,12.1,20.3,Marcus Smart,0.0,1.0,0.0,1.0,37.4,31.8,77.4,0.0,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
177.0,7.9,4.7,2.9,15.4,5.8,Dejounte Murray,0.0,1.0,0.0,0.0,45.6,35.4,73.9,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
280.0,15.0,5.8,2.1,16.3,12.8,Jabari Parker,0.0,0.0,0.0,0.0,49.2,32.4,73.9,0.0,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
394.0,6.4,6.0,0.7,14.7,17.6,Dewayne Dedmon,0.0,0.0,0.0,0.0,51.6,33.3,73.2,0.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
677.0,11.4,7.4,1.1,18.9,53.3,Derrick Favors,0.0,0.0,0.0,1.0,53.0,20.7,66.2,0.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
551.0,12.4,8.8,0.9,20.2,51.5,Jonas Valančiūnas,0.0,0.0,0.0,1.0,56.2,36.1,78.1,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
180.0,4.2,2.2,0.8,7.6,2.8,Treveon Graham,0.0,0.0,0.0,0.0,38.3,33.3,69.1,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
856.0,9.9,1.9,4.0,14.2,44.5,D.J. Augustin,0.0,0.0,0.0,1.0,41.2,37.9,86.5,0.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
187.0,8.6,4.7,1.4,11.0,8.2,Josh Hart,0.0,0.0,0.0,0.0,42.8,35.3,71.3,0.0,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
626.0,14.2,4.0,4.8,18.1,42.3,Eric Bledsoe,0.0,1.0,0.0,1.0,45.7,33.7,79.5,0.0,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
602.0,7.7,2.4,3.9,13.5,12.8,Ish Smith,0.0,0.0,0.0,0.0,43.0,31.8,67.9,0.0,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
307.0,12.4,3.2,2.9,12.7,17.6,Josh Richardson,0.0,0.0,0.0,0.0,42.6,36.2,81.4,0.0,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
387.0,11.0,4.4,6.6,15.3,14.9,Elfrid Payton,0.0,0.0,0.0,1.0,45.2,28.9,62.5,0.0,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
187.0,5.4,3.9,1.3,7.6,0.5,Dragan Bender,0.0,0.0,0.0,0.0,39.9,32.3,65.4,0.0,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
566.0,8.1,2.0,1.8,11.4,14.4,E'Twaun Moore,0.0,0.0,0.0,0.0,45.5,39.0,73.7,0.0,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
803.0,12.6,7.4,0.8,17.2,67.8,Serge Ibaka,0.0,3.0,0.0,0.0,51.4,36.1,76.0,1.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Once in a Generation
665.0,6.3,6.7,0.8,16.5,41.7,Ed Davis,0.0,0.0,0.0,0.0,56.8,0.0,58.3,0.0,56.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
341.0,12.5,2.9,1.9,13.2,17.1,Rodney Hood,0.0,0.0,0.0,0.0,42.6,37.2,83.9,0.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
711.0,6.2,3.4,0.9,11.0,25.6,Anthony Tolliver,0.0,0.0,0.0,0.0,41.5,37.3,77.1,0.0,53.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
219.0,5.3,2.5,0.7,12.8,4.6,Justin Anderson,0.0,0.0,0.0,0.0,41.8,30.0,77.6,0.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
275.0,7.4,3.1,4.1,13.6,13.8,Tomáš Satoranský,0.0,0.0,0.0,0.0,46.9,36.9,81.7,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
434.0,5.6,1.8,3.7,9.8,10.1,Matthew Dellavedova,0.0,0.0,0.0,0.0,38.9,36.8,83.8,1.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
225.0,10.3,2.5,4.0,14.9,14.1,Fred VanVleet,0.0,0.0,0.0,0.0,41.1,39.2,83.9,1.0,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
371.0,7.7,4.6,1.0,18.1,26.1,Dwight Powell,0.0,0.0,0.0,0.0,56.3,29.3,73.9,0.0,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
442.0,5.6,3.9,0.9,12.1,15.6,Meyers Leonard,0.0,0.0,0.0,0.0,48.3,39.2,81.3,0.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
799.0,9.5,6.3,1.0,15.5,52.4,Taj Gibson,0.0,0.0,0.0,1.0,51.5,22.0,70.9,0.0,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
404.0,13.8,11.8,0.7,24.3,44.9,Hassan Whiteside,0.0,1.0,0.0,0.0,58.2,32.0,60.6,0.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,All Time Great
315.0,8.1,6.6,1.8,17.2,20.3,Larry Nance Jr.,0.0,0.0,0.0,0.0,53.7,32.4,69.5,0.0,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
499.0,7.0,3.2,0.9,12.8,15.4,Mike Scott,0.0,0.0,0.0,0.0,45.8,36.3,76.0,0.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
811.0,9.6,2.6,1.7,12.2,39.4,Courtney Lee,0.0,0.0,0.0,0.0,45.1,38.8,85.3,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
207.0,6.6,2.6,1.1,10.2,5.1,Justin Jackson,0.0,0.0,0.0,0.0,43.3,32.5,78.0,0.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
518.0,14.1,2.7,2.6,13.8,23.9,Evan Fournier,0.0,0.0,0.0,0.0,44.9,37.6,80.7,0.0,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
377.0,6.4,2.8,4.7,13.9,15.3,T.J. McConnell,0.0,0.0,0.0,0.0,49.2,33.5,77.8,0.0,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
194.0,3.9,1.6,1.4,7.8,4.2,Patrick McCaw,0.0,0.0,0.0,0.0,41.9,30.5,77.9,3.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
488.0,10.2,3.2,1.8,13.9,15.9,Alec Burks,0.0,0.0,0.0,0.0,42.0,35.8,79.2,0.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
209.0,7.1,4.4,0.9,13.4,10.9,Maxi Kleber,0.0,0.0,0.0,0.0,46.5,35.4,80.3,0.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
227.0,8.3,3.3,4.2,11.9,3.9,Kris Dunn,0.0,0.0,0.0,0.0,42.2,30.6,72.6,0.0,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
413.0,11.0,4.9,1.5,15.6,29.9,Otto Porter,0.0,0.0,0.0,0.0,48.2,40.4,78.9,0.0,55.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
900.0,13.0,4.4,1.6,13.2,41.6,Jeff Green,0.0,0.0,0.0,1.0,44.1,33.4,80.5,0.0,48.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
359.0,5.4,4.0,2.0,13.4,17.6,Kyle Anderson,0.0,0.0,0.0,0.0,49.2,30.7,69.8,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
340.0,7.0,1.9,2.5,13.0,8.3,Shabazz Napier,0.0,0.0,0.0,0.0,39.7,34.6,81.5,0.0,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
204.0,7.8,3.5,1.0,11.2,10.1,OG Anunoby,0.0,0.0,0.0,0.0,48.0,36.2,63.8,1.0,56.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
673.0,6.7,4.0,1.0,12.6,30.2,Patrick Patterson,0.0,0.0,0.0,0.0,44.8,36.9,75.2,0.0,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
445.0,14.8,3.2,2.6,15.6,14.0,Jordan Clarkson,0.0,0.0,0.0,1.0,44.7,34.1,81.8,0.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
176.0,16.2,8.8,1.6,21.0,16.4,John Collins,0.0,0.0,0.0,1.0,57.1,36.9,75.7,0.0,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Time Great
848.0,9.6,2.4,1.1,13.1,30.1,C.J. Miles,0.0,0.0,0.0,0.0,41.1,35.8,80.9,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
357.0,10.4,4.4,4.4,13.9,7.0,Michael Carter-Williams,0.0,0.0,0.0,1.0,40.3,25.6,71.1,0.0,42.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
544.0,9.1,2.1,2.3,10.2,11.3,Austin Rivers,0.0,0.0,0.0,0.0,41.8,34.8,64.0,0.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Role Player
355.0,8.1,6.2,1.2,17.5,21.4,Nerlens Noel,0.0,0.0,0.0,1.0,54.2,28.6,64.8,0.0,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
216.0,9.9,7.7,1.1,18.8,19.0,Jarrett Allen,0.0,0.0,0.0,0.0,60.7,16.9,69.2,0.0,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,All Star
